Pašvaldība;Iestādes reģistrācijas Nr.;Iestādes nosaukums;Iestādes veids;Iestādes tips;Pakļautība;Faktiskais dibinātājs;Adreses ATVK kods; Izglītības programmas otrais klasifikācijas līmenis;Izglītības programmas kods;Izglītības programmas nosaukums;1.kursā;2.kursā;3.kursā;4.kursā;Izglītojamo skaits kopā (1.-4.kurss)
RĪGA;3335003584;Rīgas Tirdzniecības profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33341021;Komerczinības;85;66;52;30;233
RĪGA;3335003584;Rīgas Tirdzniecības profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33343011;Banku zinības un finanses;;;37;22;59
RĪGA;3335003584;Rīgas Tirdzniecības profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33344021;Grāmatvedība;28;22;;;50
RĪGA;3335003584;Rīgas Tirdzniecības profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33346011;Administratīvie un sekretāra pakalpojumi;25;16;17;8;66
RĪGA;3335003584;Rīgas Tirdzniecības profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33811041;Restorānu pakalpojumi;;;;11;11
RĪGA;3335003584;Rīgas Tirdzniecības profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33840111;Loģistika;57;42;17;35;151
RĪGA;3335003641;Rīgas Metālapstrādes profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;32;32521011;Metālapstrāde;60;46;42;;148
RĪGA;3335003641;Rīgas Metālapstrādes profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;32a;32a521011;Metālapstrāde;72;;;;72
RĪGA;3335003641;Rīgas Metālapstrādes profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35a;35a346011;Administratīvie un sekretāra pakalpojumi;22;;;;22
RĪGA;3335003641;Rīgas Metālapstrādes profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35b;35b484011;Programmēšana;31;;;;31
RĪGA;3335303589;Jāzepa Mediņa Rīgas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212011;Taustiņinstrumentu spēle;7;9;7;3;26
RĪGA;3335303589;Jāzepa Mediņa Rīgas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212021;Stīgu instrumentu spēle;10;3;5;8;26
RĪGA;3335303589;Jāzepa Mediņa Rīgas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212031;Pūšaminstrumentu spēle;10;5;9;7;31
RĪGA;3335303589;Jāzepa Mediņa Rīgas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212041;Sitaminstrumentu spēle;3;3;;;6
RĪGA;3335303589;Jāzepa Mediņa Rīgas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212051;Diriģēšana;3;2;3;2;10
RĪGA;3335303589;Jāzepa Mediņa Rīgas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212061;Vokālā mūzika;5;3;1;6;15
RĪGA;3335303589;Jāzepa Mediņa Rīgas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212071;Mūzikas vēsture un teorija;4;2;;2;8
RĪGA;3335303589;Jāzepa Mediņa Rīgas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212091;Mūzika;8;9;6;8;31
RĪGA;3335303589;Jāzepa Mediņa Rīgas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;35b;35b212061;Vokālā mūzika;2;2;1;;5
RĪGA;3335303589;Jāzepa Mediņa Rīgas Mūzikas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;35b;35b212091;Mūzika;1;2;1;;4
RĪGA;3335803600;"Profesionālā vidusskola ""Victoria""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Juridiska vai fiziska persona;" SIA ""Biznesa, mākslas un tehnoloģiju augstskola ""RISEBA""""";001000;33;33213011;Audiovizuālā māksla un tehnoloģijas;12;;7;7;26
RĪGA;3335803600;"Profesionālā vidusskola ""Victoria""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Juridiska vai fiziska persona;" SIA ""Biznesa, mākslas un tehnoloģiju augstskola ""RISEBA""""";001000;33;33214011;Komunikācijas dizains;64;45;43;;152
RĪGA;3335803600;"Profesionālā vidusskola ""Victoria""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Juridiska vai fiziska persona;" SIA ""Biznesa, mākslas un tehnoloģiju augstskola ""RISEBA""""";001000;33;33214031;Interjera dizains;17;9;14;9;49
RĪGA;3335803600;"Profesionālā vidusskola ""Victoria""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Juridiska vai fiziska persona;" SIA ""Biznesa, mākslas un tehnoloģiju augstskola ""RISEBA""""";001000;33;33214121;Multimediju dizains;;;;35;35
RĪGA;3335803600;"Profesionālā vidusskola ""Victoria""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Juridiska vai fiziska persona;" SIA ""Biznesa, mākslas un tehnoloģiju augstskola ""RISEBA""""";001000;33;33341021;Komerczinības;19;20;10;15;64
RĪGA;3335803600;"Profesionālā vidusskola ""Victoria""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Juridiska vai fiziska persona;" SIA ""Biznesa, mākslas un tehnoloģiju augstskola ""RISEBA""""";001000;33;33484011;Programmēšana;28;10;;;38
RĪGA;3335803600;"Profesionālā vidusskola ""Victoria""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Juridiska vai fiziska persona;" SIA ""Biznesa, mākslas un tehnoloģiju augstskola ""RISEBA""""";001000;33;33811031;Viesnīcu pakalpojumi;24;;;20;44
RĪGA;3335803600;"Profesionālā vidusskola ""Victoria""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Juridiska vai fiziska persona;" SIA ""Biznesa, mākslas un tehnoloģiju augstskola ""RISEBA""""";001000;33;33840111;Loģistika;14;10;15;14;53
RĪGA;3335803603;RTU Latvijas Jūras akadēmijas Jūrskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Rīgas Tehniskā universitāte;001000;33;33525021;Kuģu mehānika;57;39;31;38;165
RĪGA;3335803603;RTU Latvijas Jūras akadēmijas Jūrskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Izglītības un zinātnes ministrija; Rīgas Tehniskā universitāte;001000;33;33525061;Jūras transports;86;62;41;54;243
RĪGA;3335803611;Starptautiskā CIDESCO Rīgas kosmētikas skola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Juridiska vai fiziska persona;" Sabiedrība ar ierobežotu atbildību ""RĪGAS KOSMĒTIKAS SKOLA""";001000;35b;35b722091;Kosmetoloģija;30;22;;;52
RĪGA;3335803613;"Profesionālā vidusskola ""BEAUTY SCHOOL""";Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Juridiska vai fiziska persona;" Sabiedrība ar ierobežotu atbildību ""Beauty School""";001000;35b;35b722091;Kosmetoloģija;17;15;;;32
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;22;22543041;Kokizstrādājumu izgatavošana;11;7;;;18
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;32;32764011;Sociālā aprūpe;;;5;;5
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;32a;32a543041;Kokizstrādājumu izgatavošana;16;;;;16
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33341021;Komerczinības;29;27;35;17;108
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33344021;Grāmatvedība;27;21;18;17;83
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33346011;Administratīvie un sekretāra pakalpojumi;22;27;19;8;76
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33483011;Datorsistēmas, datubāzes un datortīkli;57;58;78;43;236
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33484011;Programmēšana;124;101;95;79;399
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33521031;Inženiertehnika, mehānika un mašīnbūves tehnoloģija;25;15;11;19;70
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33522011;Enerģētika un elektrotehnika;54;49;41;36;180
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33525011;Autotransports;127;101;96;64;388
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33525041;Dzelzceļa transports;14;9;6;8;37
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33528011;Ķīmijas tehnoloģijas;29;22;18;14;83
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33542021;Šūto izstrādājumu ražošanas tehnoloģija;11;4;;2;17
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33543041;Kokizstrādājumu izgatavošana;50;33;22;21;126
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33545001;Poligrāfijas ražošanas tehnoloģijas un izstrādājumu izgatavošana;51;44;19;25;139
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33545021;Poligrāfija un izdevējdarbība;23;14;9;7;53
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33582011;Būvdarbi;;;;3;3
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33840081;Dzelzceļa pakalpojumi;26;20;11;4;61
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33840111;Loģistika;56;26;48;27;157
RĪGA;3336003573;Rīgas Valsts tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35b;35b525011;Autotransports;24;;;;24
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;32;32815011;Dekoratīvā kosmētika;;;13;;13
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33213011;Audiovizuālā māksla un tehnoloģijas;16;16;15;28;75
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33542021;Šūto izstrādājumu ražošanas tehnoloģija;65;38;16;14;133
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33815001;Skaistumkopšanas pakalpojumi;27;24;17;12;80
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33815021;Frizieru pakalpojumi;54;23;42;43;162
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35a;35a815011;Dekoratīvā kosmētika;24;;;;24
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35a;35a815021;Frizieru pakalpojumi;12;;;;12
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35a;35a815031;Nagu kopšanas pakalpojumi;22;;;;22
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35b;35b213011;Audiovizuālā māksla un tehnoloģijas;16;9;;;25
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35b;35b542021;Šūto izstrādājumu ražošanas tehnoloģija;16;;;;16
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35b;35b722091;Kosmetoloģija;28;19;;;47
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35b;35b815001;Skaistumkopšanas pakalpojumi;18;;;;18
RĪGA;3336003575;Rīgas Stila un modes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35b;35b815021;Frizieru pakalpojumi;13;;;;13
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;32;32811021;Ēdināšanas pakalpojumi;17;10;11;;38
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;32a;32a541051;Gaļas produktu ražošana;11;;;;11
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;32a;32a811021;Ēdināšanas pakalpojumi;10;;;;10
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;32a;32a815021;Frizieru pakalpojumi;10;;;;10
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33214031;Interjera dizains;;;;14;14
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33214111;Apģērbu dizains;;10;;10;20
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33341021;Komerczinības;83;59;53;45;240
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33541011;Pārtikas produktu tehnoloģija;44;44;31;12;131
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33541031;Pārtikas produktu kvalitātes kontrole;21;18;17;;56
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33541041;Miltu izstrādājumu ražošana;25;6;7;;38
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33542021;Šūto izstrādājumu ražošanas tehnoloģija;34;13;16;7;70
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33811021;Ēdināšanas pakalpojumi;198;163;126;121;608
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33811031;Viesnīcu pakalpojumi;40;29;22;26;117
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33811041;Restorānu pakalpojumi;27;18;7;9;61
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33812011;Tūrisma pakalpojumi;24;24;24;20;92
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33815001;Skaistumkopšanas pakalpojumi;41;33;25;32;131
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35b;35b811021;Ēdināšanas pakalpojumi;20;;;;20
RĪGA;3336003581;"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""";Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;35b;35b811031;Viesnīcu pakalpojumi;9;;;;9
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33213011;Audiovizuālā māksla un tehnoloģijas;90;67;47;42;246
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33214011;Komunikācijas dizains;74;73;87;;234
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33214021;Vides dizains;19;15;16;20;70
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33214031;Interjera dizains;19;22;31;15;87
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33214041;Reklāmas dizains;;;;15;15
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33214061;Tekstilizstrādājumu dizains;;;;9;9
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33214111;Apģērbu dizains;18;20;10;13;61
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33214121;Multimediju dizains;;;;41;41
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33214151;Produktu dizains;38;29;22;;89
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33216011;Metāla mākslinieciskā apstrāde;29;13;7;5;54
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33216021;Koka mākslinieciskā apstrāde;33;21;17;8;79
RĪGA;3337003582;Rīgas Mākslas un mediju tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33582011;Būvdarbi;27;11;5;11;54
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33211011;Mākslas;24;24;;;48
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214011;Komunikācijas dizains;37;36;26;;99
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214021;Vides dizains;;;;15;15
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214031;Interjera dizains;34;35;25;13;107
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214041;Reklāmas dizains;;;;20;20
